,sliding_number,rmse,mae
0,2.0,0.0897475127627,0.0523506754859
1,3.0,0.202092553042,0.0898211982837
2,4.0,0.270898076576,0.0666459884083
3,5.0,0.26024216818,0.0688141252295
4,2.0,0.138567292134,0.0771300578373
5,3.0,0.26837164037,0.0908493471011
6,4.0,0.127313119832,0.0614417588614
7,5.0,0.260511580163,0.0839229050307
8,2.0,0.105382446014,0.0653157909703
9,3.0,0.102987681396,0.0728184185489
10,4.0,0.171030005626,0.0630025272283
11,5.0,0.244103646716,0.0752978584358
12,2.0,0.0945112131927,0.0648181366612
13,3.0,0.132147774726,0.0938260023614
14,4.0,0.158253324282,0.0712145593396
15,5.0,0.218254332896,0.0835211768434
16,2.0,0.227645967299,0.0748061503443
17,3.0,0.11810806707,0.0745228647777
18,4.0,0.166137611213,0.0558086584943
19,5.0,0.177803051649,0.0502204569124
20,2.0,0.0999529469539,0.0649590651801
21,3.0,0.110948389723,0.0727846846694
22,4.0,0.248340283693,0.0671665833819
23,5.0,0.181631431526,0.0620187715571
24,2.0,0.101254976772,0.0701166753852
25,3.0,0.129891557211,0.0763491022702
26,4.0,0.22905449204,0.0768665248553
27,5.0,0.186935398924,0.0561618250832
28,2.0,0.100526365973,0.0626476141478
29,3.0,0.120619603462,0.0671975178239
30,4.0,0.248070296947,0.0684878996066
31,5.0,0.145237149789,0.065853851252
32,2.0,0.140043462977,0.0674350890591
33,3.0,0.167712187532,0.0632588780179
34,4.0,0.127459028071,0.0727494237873
35,5.0,0.182641635775,0.0697539099593
36,2.0,0.0968148125671,0.068238732706
37,3.0,0.189425098215,0.0824831484046
38,4.0,0.25428787567,0.0800397622518
39,5.0,0.212269206689,0.0666831913238
