,sliding_number,rmse,mae
0,2.0,0.153617420755,0.0490227767082
1,3.0,0.273730575508,0.0715222076562
2,4.0,0.29259048486,0.063132700133
3,5.0,0.178932722458,0.0541158582986
4,2.0,0.237789218633,0.055402462954
5,3.0,0.188890686881,0.0537107670123
6,4.0,0.213713856662,0.0526594167459
7,5.0,0.222334467851,0.0556099409549
8,2.0,0.0948426875116,0.0403244940008
9,3.0,0.181257880471,0.0484231674193
10,4.0,0.251207452017,0.0555875488019
11,5.0,0.249629135116,0.0619490423453
12,2.0,0.316387344401,0.0676087713704
13,3.0,0.286460387022,0.0680252491717
14,4.0,0.219580800976,0.0510518583939
15,5.0,0.174027826923,0.057146861149
16,2.0,0.163068215168,0.0426490181241
17,3.0,0.211628386453,0.0580821225034
18,4.0,0.15264270049,0.0512608788877
19,5.0,0.223563724561,0.06171921052
20,2.0,0.203040754214,0.052149548701
21,3.0,0.172618598829,0.0590485156255
22,4.0,0.246925266536,0.056138856931
23,5.0,0.177562103769,0.0590088030941
24,2.0,0.134133703912,0.04300691343
25,3.0,0.316888620395,0.0577965047057
26,4.0,0.201787987107,0.0472471297636
27,5.0,0.202176480733,0.0550542699128
28,2.0,0.175872549447,0.0435307140419
29,3.0,0.111574940611,0.0421760627135
30,4.0,0.238603089256,0.054945903772
31,5.0,0.124852294293,0.0541940974126
32,2.0,0.179566933195,0.0470592278
33,3.0,0.414198357603,0.0684934548063
34,4.0,0.270767264736,0.0653284775111
35,5.0,0.142720881961,0.0556294954671
36,2.0,0.214429043784,0.0525307234632
37,3.0,0.204069217615,0.0673231386197
38,4.0,0.269660174396,0.0538161588701
39,5.0,0.243219092417,0.0704245618714
