,sliding_number,rmse,mae
0,2.0,3.22410902973,0.856395439377
1,3.0,3.32416261293,0.894166146993
2,4.0,3.71840612692,0.871124749164
3,5.0,3.80482875608,0.922459375
4,2.0,3.28660029472,0.857566518354
5,3.0,3.1017967805,0.815951002227
6,4.0,3.14719138089,0.759712040134
7,5.0,3.38190687704,0.871269419643
8,2.0,3.33839722619,0.886735372636
9,3.0,3.29052442629,0.87348752784
10,4.0,3.01401585893,0.77696599777
11,5.0,3.30490104608,0.880910267857
12,2.0,3.24484491084,0.865387430478
13,3.0,3.26324894995,0.881044320713
14,4.0,3.24555387081,0.819457859532
15,5.0,3.10927856061,0.807820982143
16,2.0,3.42339948484,0.912189877642
17,3.0,3.08700092491,0.77853986637
18,4.0,2.92329979561,0.78542664437
19,5.0,3.00129860925,0.748102008929
20,2.0,3.31056781941,0.867536262514
21,3.0,3.04195824216,0.709012026726
22,4.0,3.21552896233,0.87136845039
23,5.0,3.44875293711,0.931556696429
24,2.0,3.3335707834,0.888664849833
25,3.0,3.37399668216,0.900735634744
26,4.0,3.31878107716,0.831784503902
27,5.0,3.4656003725,0.873363616071
28,2.0,3.351530865,0.900703114572
29,3.0,3.32309701183,0.887861024499
30,4.0,3.24043366052,0.889582497213
31,5.0,3.24297866292,0.8420359375
32,2.0,3.34237383396,0.87640567297
33,3.0,3.2175547175,0.861446993318
34,4.0,3.39611249208,0.949552619844
35,5.0,3.59034605809,0.82204375
36,2.0,3.37685076073,0.89482458287
37,3.0,3.2432913673,0.877684632517
38,4.0,3.2899166332,0.80926477146
39,5.0,2.98476207657,0.7530453125
