,sliding_number,rmse,mae
0,2.0,2.91379279604,0.872134911647
1,3.0,2.7828047104,0.977788071272
2,4.0,4.19853125035,1.01067812736
3,5.0,3.44489976307,0.930994207397
4,2.0,3.21220054856,0.732024026377
5,3.0,2.99807810684,0.660085569785
6,4.0,3.60432618484,1.08497549376
7,5.0,3.30221889077,1.15007108536
8,2.0,2.57062549696,0.790870371465
9,3.0,2.95034922049,0.764341846624
10,4.0,2.60569892945,1.04196170253
11,5.0,4.40821644544,1.13365559462
12,2.0,4.80384716492,0.865248237984
13,3.0,3.61889172564,0.71556875302
14,4.0,4.17721686017,1.35537501036
15,5.0,4.40688403426,1.35942302279
16,2.0,4.09518145006,1.04492924434
17,3.0,3.58574802429,0.77301895055
18,4.0,3.41943044143,0.996136347486
19,5.0,2.95644101773,1.15400434043
20,2.0,4.41087081911,1.10671256959
21,3.0,3.48175574821,0.841791954554
22,4.0,4.40586416743,1.28170616165
23,5.0,3.50812799652,1.18423007772
24,2.0,2.51390240366,0.920641630649
25,3.0,2.87881226473,0.898280196224
26,4.0,3.50502701073,1.26462428961
27,5.0,4.72637591031,1.17083275541
28,2.0,3.72065371982,0.852326450483
29,3.0,2.68171825186,0.933546276772
30,4.0,2.71111633598,1.08511529091
31,5.0,3.75713522211,0.920703100497
32,2.0,2.06355131899,0.687715174564
33,3.0,2.95205436022,0.661200206247
34,4.0,3.48519573415,0.952640803412
35,5.0,3.56277575328,1.09745977745
36,2.0,2.71382387121,0.963142648418
37,3.0,3.65077577883,1.01803169533
38,4.0,4.08742633966,1.26585533171
39,5.0,3.30419452661,0.903587252921
