,sliding_number,rmse,mae
0,2.0,3.0266163949,0.817596551724
1,3.0,3.16703826511,0.769805567929
2,4.0,2.77248757115,0.752242474916
3,5.0,3.29690482859,0.876100446429
4,2.0,3.48492022615,0.922752057842
5,3.0,2.94230986809,0.730663028953
6,4.0,3.70818298871,0.929183389075
7,5.0,3.60439050448,0.934146651786
8,2.0,3.6194552865,0.8230810901
9,3.0,3.14230257896,0.844548775056
10,4.0,3.69749237107,0.893846265329
11,5.0,3.46600620672,0.9081125
12,2.0,3.16716154781,0.810521357063
13,3.0,4.15836505008,1.02895144766
14,4.0,3.68920611275,0.916050055741
15,5.0,3.43095572427,0.9198265625
16,2.0,2.98907112168,0.709323804227
17,3.0,2.68563123473,0.709324498886
18,4.0,2.93418128838,0.807813489409
19,5.0,3.50003296949,0.927117857143
20,2.0,3.3062956132,0.90714516129
21,3.0,3.51318762418,0.785673273942
22,4.0,3.19257999345,0.89394303233
23,5.0,3.57379859699,0.893620982143
24,2.0,3.37422566929,0.881483537264
25,3.0,2.60011258086,0.680019376392
26,4.0,3.80272685911,0.931274804905
27,5.0,3.4766983775,0.9417859375
28,2.0,3.21095243826,0.805028809789
29,3.0,2.90786127488,0.712612026726
30,4.0,3.62175102875,0.95721884058
31,5.0,3.56939240785,0.918924553571
32,2.0,3.63055654111,0.836809677419
33,3.0,2.99470422648,0.764942761693
34,4.0,3.1459842018,0.836357525084
35,5.0,3.32455962319,0.873138616071
36,2.0,3.44698896875,0.783780088988
37,3.0,3.72224986079,0.820493986637
38,4.0,4.02705463285,0.924554180602
39,5.0,3.6013645945,0.944358928571
