,sliding_number,cpu_rate,mem_usage,disk_io_time
0,2.0,1.04982182007,0.102667410321,0.00378041496158
1,3.0,1.04108214907,0.104694796992,0.00377947642302
2,4.0,1.0563126898,0.102983714638,0.00378228920995
3,5.0,1.05517428948,0.102676498261,0.00378401360754
4,6.0,1.05540176384,0.102605564767,0.00377898592693
5,7.0,1.05937289681,0.103360274293,0.00380927012156
6,8.0,1.07187594201,0.103724160374,0.00383992740482
7,9.0,1.06373304037,0.104548985079,0.003824140519
8,10.0,1.07587436121,0.105339100184,0.00379764442524
9,11.0,1.07204233041,0.103869995435,0.00385533155403
10,12.0,1.06909536511,0.103651818544,0.00390677067411
11,13.0,1.0691339783,0.104462431542,0.00383172460343
12,14.0,1.09986172274,0.103958368224,0.00390051697962
13,15.0,1.06423691247,0.107146078833,0.00382528362657
14,16.0,1.07260733124,0.104636850958,0.00381018862962
15,17.0,1.06956142383,0.103020892951,0.00376149737596
16,18.0,1.05722183085,0.105271015496,0.00386217413485
17,19.0,1.07395388512,0.106433815969,0.00383381028334
18,2.0,1.05910984929,0.10198848976,0.00376825283137
19,3.0,1.05998839093,0.102349874997,0.00377410336872
20,4.0,1.04922900629,0.10247504176,0.00379180001057
21,5.0,1.06894111443,0.104049184011,0.00385015973951
22,6.0,1.05052434026,0.102690418315,0.00377791056768
23,7.0,1.05332415735,0.103986554983,0.00385657369506
24,8.0,1.07368936808,0.104840514021,0.00382900432106
25,9.0,1.06100024693,0.10313842681,0.00379811944242
26,10.0,1.06837204878,0.103407037279,0.00380098525241
27,11.0,1.07512435373,0.10571147088,0.00381722081054
28,12.0,1.08191706642,0.103335124867,0.00385031169635
29,13.0,1.07121991703,0.103966703018,0.00380940791727
30,14.0,1.07540780322,0.103537026646,0.00381713091828
31,15.0,1.06924551007,0.105714455346,0.00393642197201
32,16.0,1.08830139393,0.10410317231,0.00384103554598
33,17.0,1.07654026982,0.105185051901,0.00381560923403
34,18.0,1.08147894997,0.104048042263,0.00382747399285
35,19.0,1.05855352165,0.102843938002,0.00386374826873
