,sliding_number,hidden_nodes,rmse,mae
0,2,15,2.22163897391,0.75472431344
1,3,15,2.9650445515,0.901284894809
2,4,15,2.2855123487,0.793702327586
3,5,15,3.01784482297,0.998418646356
