,sliding_number,cpu_rate,mem_usage,disk_io_time
0,2.0,1.12571260289,0.193599888765,3.0
1,1.18130864143,0.196407461024,4.0,1.27092508361
2,0.228809085842,5.0,1.32386452009,0.208222790179
3,2.0,1.04452332592,0.170733459399,3.0
4,1.19387603563,0.220892828508,4.0,1.28889308807
5,0.229956510591,5.0,1.36500824777,0.230048125
6,2.0,1.06451667408,0.204642736374,3.0
7,1.22697247216,0.203138685969,4.0,1.29602938685
8,0.213541995541,5.0,1.34579510045,0.221203013393
9,2.0,1.09285585095,0.182601802002,3.0
10,1.17717788419,0.197857861915,4.0,1.30262267559
11,0.205412720178,5.0,1.27535378348,0.219078705357
12,2.0,1.08474208009,0.215810678532,3.0
13,1.18558797327,0.216174365256,4.0,1.26152865106
14,0.201209175028,5.0,1.26765934152,0.216316629464
15,2.0,1.09306054505,0.207736885428,3.0
16,1.21862,0.193104476615,4.0,1.25419440357
17,0.211985696767,5.0,1.29854873884,0.215359419643
